user,rating,date,review,helpful_count,clean_review
Lidia Cymerman,1,2026-05-28 22:33:02,impossible to log in. every time I enter my details I get an error stating my session has timed out.,0,impossible to log in every time i enter my details i get an error stating my session has timed out
Kapil Dhawan,5,2026-05-22 13:14:29,Always good,0,always good
Mr. Singh,5,2026-05-21 20:35:58,Great App,0,great app
Srinivasulu K,5,2026-05-21 17:26:33,All Good 21 05 26,0,all good
C TMH,1,2026-05-14 07:10:59,"Slow as molasses in the android version, just waiting for the screen to update, login, etc. Cannot save user ID name. Lack of logic - too many times requiring verification. no improvement for over a year.",7,slow as molasses in the android version just waiting for the screen to update login etc cannot save user id name lack of logic too many times requiring verification no improvement for over a year
Vineet Bothra,3,2026-05-04 21:10:53,keeps forgetting username even when option to remember is enabled,0,keeps forgetting username even when option to remember is enabled
Chris Beattie,5,2026-04-22 17:51:17,v easy to use,0,v easy to use
Adib Mohammad,1,2026-04-16 12:29:14,worst ebanking app used in my life,0,worst ebanking app used in my life
HJ Nam,5,2026-04-10 01:07:37,Very asy and efficient!,0,very asy and efficient
Thi Vo Tan,1,2026-03-31 06:52:11,"Big global bank. Poor app! This app is used by upper approvers in companies, who can decide whether to continue using hsbc services. But hsbc seems to ignore this by creating very an unfriendly, unstable app.",0,big global bank poor app this app is used by upper approvers in companies who can decide whether to continue using hsbc services but hsbc seems to ignore this by creating very an unfriendly unstable app
Akshay Kumar,1,2026-03-18 12:26:56,after the recent update app is too slow to load. I mean this is just to provide tokens it should be a heavy app that it is taking long time to load ......,0,after the recent update app is too slow to load i mean this is just to provide tokens it should be a heavy app that it is taking long time to load
suresh narasimhan,5,2026-03-18 09:41:49,good,0,good
Saleem Basha,2,2026-03-16 16:21:07,After update not working anymore 😕,0,after update not working anymore
Maria Altshuler,5,2026-03-09 18:11:38,Intuitive and easy to use.,1,intuitive and easy to use
sarah safurah,1,2026-03-06 18:42:07,very poor HSBCNet,0,very poor hsbcnet
Diallo Rabain,1,2026-03-05 00:49:16,"probably the worst banking app ever. The Call Service is useless too. 4 weeks and counting with no access to my accounts. Calling the help desk, when the connection is good enough to hear, results in ""..I will have to call you back.."" to which a return call takes days. no waiting for my 4th ""call back"" and 4 weeks and still no access to my account.",1,probably the worst banking app ever the call service is useless too weeks and counting with no access to my accounts calling the help desk when the connection is good enough to hear results in i will have to call you back to which a return call takes days no waiting for my th call back and weeks and still no access to my account
henish sutaria,5,2026-02-26 13:22:48,Far better compared to HDFC and ICICI,0,far better compared to hdfc and icici
benjy broder,5,2026-02-24 14:47:34,"Great App, easy to use and does the job well",0,great app easy to use and does the job well
Ankit Surana,5,2026-02-19 19:10:40,Excellent experience.,0,excellent experience
Paresh G,5,2026-02-05 15:38:13,Excellent 👍🏽,0,excellent
Nageswara Rao Korlepara,3,2026-02-04 18:26:40,very difficult app to use,0,very difficult app to use
ADEEL Younas,5,2026-02-04 07:06:41,Interested,0,interested
Rajesh Sahani,1,2026-01-30 13:29:39,does not provide basic functionality,0,does not provide basic functionality
Reena Rani,5,2026-01-22 14:36:30,good,0,good
scotch n butter,1,2026-01-22 06:00:55,unable to receive sms code for mobile authentication..even checked sms settings for blocked numbers.. total waste of time,0,unable to receive sms code for mobile authenticationeven checked sms settings for blocked numbers total waste of time
Lisa Broad,3,2026-01-13 22:48:35,I use it mainly as the user authenticator for login and payments but it frequently times out and needs to be resent several times. Seems to be getting worse recently.,1,i use it mainly as the user authenticator for login and payments but it frequently times out and needs to be resent several times seems to be getting worse recently
Jo,1,2026-01-12 15:41:21,"after app update, I can t get code from app. it keeps running in background, but no response.",0,after app update i can t get code from app it keeps running in background but no response
Hansal Savla,2,2026-01-12 13:37:49,Keeps hanging and asks for frequent updates. irritating when time is of essence,0,keeps hanging and asks for frequent updates irritating when time is of essence
Farheen Dhamaskar,5,2026-01-10 10:36:58,excellent,0,excellent
Yousef Amar,1,2026-01-01 23:17:35,Embarrassingly terrible app and the reason my business will stop banking with HSBC.,0,embarrassingly terrible app and the reason my business will stop banking with hsbc
Minesh Upadhyaya,2,2025-12-31 15:13:30,App design and features could be much better. Too many bugs!!!,0,app design and features could be much better too many bugs
rakesh kumar,5,2025-12-20 15:48:42,Good application and security is the best in this app thanks HSBC Bank,0,good application and security is the best in this app thanks hsbc bank
Erica Black,1,2025-12-16 09:23:57,Unstable the last 2 weeks. Not opening at all. Frozen screen,0,unstable the last weeks not opening at all frozen screen
Sam Tuke,1,2025-11-05 04:50:48,fails constantly. gives networking errors before the login even loads. worse than useless because you can't login to online banking without this app.,0,fails constantly gives networking errors before the login even loads worse than useless because you cant login to online banking without this app
Uni-Care Pharma,1,2025-11-03 13:39:02,"after update always disturb, not working properly specially link. need delete the apps and reinstall apps and all setup",1,after update always disturb not working properly specially link need delete the apps and reinstall apps and all setup
Shishir Gupta,5,2025-11-02 13:36:28,very good,0,very good
Steph Meade,2,2025-10-30 12:48:46,It's fine to use to authorise things but the interface for seeing what is in the bank is limited and the next working day transactions never show properly. When I first go on it it shows transactions that are already in and then click on and off a few times and you get amounts showing but then it doesn't tell you the names of the people. What is the point in having an option to see what is going in the next day if you can't trust the figures or see the names..?,0,its fine to use to authorise things but the interface for seeing what is in the bank is limited and the next working day transactions never show properly when i first go on it it shows transactions that are already in and then click on and off a few times and you get amounts showing but then it doesnt tell you the names of the people what is the point in having an option to see what is going in the next day if you cant trust the figures or see the names
Manasi Kulkarni,1,2025-10-22 14:13:47,"it frequently crashes and glitches. Most importantly I can't do basic things via the app. I need to go on the desktop to make payments, view what credits were made and who it came from",6,it frequently crashes and glitches most importantly i cant do basic things via the app i need to go on the desktop to make payments view what credits were made and who it came from
Ahmed Fathi,1,2025-10-20 12:06:39,it is not working on mobile moto g75 as it requires the 8.56 MB update and couldn't update even after all trouble shooting,0,it is not working on mobile moto g as it requires the mb update and couldnt update even after all trouble shooting
Howard Greenside,3,2025-10-06 16:07:42,slow and a lot the time takes multiple attempts to connect,0,slow and a lot the time takes multiple attempts to connect
Chandrapal Polymers,5,2025-10-06 12:47:14,Very Good App,0,very good app
Mathabathe Dinah,2,2025-09-23 13:58:05,Good,0,good
pooja mehra,1,2025-09-17 20:21:04,showing bug in corner of screen and not opening,0,showing bug in corner of screen and not opening
Raghu Kasturi,1,2025-09-17 19:14:23,Doesn't work,0,doesnt work
Rangarajan Seshadri,5,2025-08-29 20:44:09,Slightly slow. Fully secured,0,slightly slow fully secured
Stuart Hough,1,2025-08-27 15:26:07,latest update broke login pc via app. just spins out,0,latest update broke login pc via app just spins out
Sunil Kumar P K,5,2025-08-23 16:56:32,user friendly,0,user friendly
Barbara Edwards,5,2025-08-23 16:28:04,nerd to update,0,nerd to update
Sultan Joudieh,1,2025-08-22 21:25:03,The least user friendly interface I have seen in my life. I banked with many institutions for personal and corporate accounts. I can't think of a worse experience.,2,the least user friendly interface i have seen in my life i banked with many institutions for personal and corporate accounts i cant think of a worse experience
Rex Ellis,5,2025-08-20 13:12:44,stable and easy to use,2,stable and easy to use
Baja Underwater Expeditions,2,2025-08-19 02:28:06,"doesn't allow to share the payment receipt with other applications on the phone, like WhatsApp or storage",0,doesnt allow to share the payment receipt with other applications on the phone like whatsapp or storage
Shaan Ahamed,5,2025-08-10 16:09:50,very good aap,0,very good aap
Y. Sun,1,2025-08-07 05:25:32,The worst ever. It takes forever to deposit a check for my business account.b,0,the worst ever it takes forever to deposit a check for my business accountb
Ajay Shah,5,2025-08-04 11:34:03,very good experience,0,very good experience
Richard Kuppusamy,1,2025-08-04 08:04:17,Slow and low capability. It can't even do simple things like remember cutomer login names... I think a reflection of banking with HSBC. Below average. One of the worst banking app experiences I've had.,5,slow and low capability it cant even do simple things like remember cutomer login names i think a reflection of banking with hsbc below average one of the worst banking app experiences ive had
Bhaskar Namashivayam,5,2025-07-31 15:26:28,Great 👍,0,great
Rohini Murugan,5,2025-07-23 14:16:07,Good,0,good
TV SF,1,2025-07-23 07:46:23,can't login via notification,0,cant login via notification
KAILASH gaikwad,1,2025-07-22 15:37:37,after the recent update; i'm unable to open the web notification link while attempting to log in to net banking. it open only security code but it face issue when i have to add new beneficiary it required only web notification approval,0,after the recent update im unable to open the web notification link while attempting to log in to net banking it open only security code but it face issue when i have to add new beneficiary it required only web notification approval
TBG,3,2025-07-19 23:10:03,so far so good,0,so far so good
